t0,t1,t2,t3,t4,mrr10,mean_batch_latency_ms,exit_count_0,exit_count_1,exit_count_2,exit_count_3,exit_count_4,exit_count_5
0.001,0.01,0.001,0.001,0.001,0.4366769547325103,19.239081859588623,156,33734,5522,3641,2697,3098
0.001,0.01,0.001,0.001,0.003,0.4366769547325103,19.116229724884032,156,33734,5522,3641,3478,2317
0.001,0.01,0.001,0.001,0.01,0.4329732510288066,19.069236822128296,156,33734,5522,3641,4141,1654
0.001,0.01,0.001,0.001,0.03,0.4459362139917695,19.05680892944336,156,33734,5522,3641,4600,1195
0.001,0.01,0.001,0.001,0.1,0.49223251028806586,18.991693382263183,156,33734,5522,3641,5014,781
0.001,0.01,0.001,0.001,0.3,0.48708847736625516,18.925596799850464,156,33734,5522,3641,5319,476
0.001,0.01,0.001,0.001,0.5,0.5025205761316872,18.888793268203734,156,33734,5522,3641,5492,303
0.001,0.01,0.001,0.003,0.001,0.43852880658436216,19.146259183883668,156,33734,5522,4902,1559,2975
0.001,0.01,0.001,0.003,0.003,0.43852880658436216,19.13735486984253,156,33734,5522,4902,2257,2277
0.001,0.01,0.001,0.003,0.01,0.4348251028806584,19.04887741088867,156,33734,5522,4902,2886,1648
0.001,0.01,0.001,0.003,0.03,0.4477880658436214,19.028878059387207,156,33734,5522,4902,3339,1195
0.001,0.01,0.001,0.003,0.1,0.49408436213991774,18.96513819694519,156,33734,5522,4902,3753,781
0.001,0.01,0.001,0.003,0.3,0.488940329218107,18.918653478622435,156,33734,5522,4902,4058,476
0.001,0.01,0.001,0.003,0.5,0.5043724279835391,18.859001626968382,156,33734,5522,4902,4231,303
0.001,0.01,0.001,0.01,0.001,0.4376763668430335,18.833384313583373,156,33734,5522,6310,543,2583
0.001,0.01,0.001,0.01,0.003,0.4376763668430335,18.837375030517578,156,33734,5522,6310,1010,2116
0.001,0.01,0.001,0.01,0.01,0.4371399176954732,18.856354274749755,156,33734,5522,6310,1524,1602
0.001,0.01,0.001,0.01,0.03,0.4491769547325103,18.81889245033264,156,33734,5522,6310,1945,1181
0.001,0.01,0.001,0.01,0.1,0.4954732510288066,18.854982509613038,156,33734,5522,6310,2346,780
0.001,0.01,0.001,0.01,0.3,0.49032921810699587,18.701197738647462,156,33734,5522,6310,2650,476
0.001,0.01,0.001,0.01,0.5,0.505761316872428,18.652717189788817,156,33734,5522,6310,2823,303
0.001,0.01,0.001,0.03,0.001,0.4551954732510288,18.585587511062624,156,33734,5522,7390,133,1913
0.001,0.01,0.001,0.03,0.003,0.4551954732510288,18.61911518096924,156,33734,5522,7390,322,1724
0.001,0.01,0.001,0.03,0.01,0.4551954732510288,18.626190967559815,156,33734,5522,7390,606,1440
0.001,0.01,0.001,0.03,0.03,0.45784097589653144,18.650668783187868,156,33734,5522,7390,920,1126
0.001,0.01,0.001,0.03,0.1,0.5041372721928278,18.567582731246947,156,33734,5522,7390,1277,769
0.001,0.01,0.001,0.03,0.3,0.498993239271017,18.547086696624756,156,33734,5522,7390,1571,475
0.001,0.01,0.001,0.03,0.5,0.5144253380364492,18.531934995651245,156,33734,5522,7390,1743,303
0.001,0.01,0.001,0.1,0.001,0.48605967078189305,18.27349473953247,156,33734,5522,8352,2,1082
0.001,0.01,0.001,0.1,0.003,0.48605967078189305,18.2799618434906,156,33734,5522,8352,18,1066
0.001,0.01,0.001,0.1,0.01,0.48605967078189305,18.398118448257446,156,33734,5522,8352,76,1008
0.001,0.01,0.001,0.1,0.03,0.48605967078189305,18.257106876373292,156,33734,5522,8352,185,899
0.001,0.01,0.001,0.1,0.1,0.5036522633744857,18.294002599716187,156,33734,5522,8352,377,707
0.001,0.01,0.001,0.1,0.3,0.500977366255144,18.316067247390748,156,33734,5522,8352,621,463
0.001,0.01,0.001,0.1,0.5,0.516409465020576,18.276090536117554,156,33734,5522,8352,784,300
0.001,0.01,0.001,0.3,0.001,0.504320987654321,17.978403205871583,156,33734,5522,8977,0,459
0.001,0.01,0.001,0.3,0.003,0.504320987654321,17.994582967758177,156,33734,5522,8977,0,459
0.001,0.01,0.001,0.3,0.01,0.504320987654321,17.975195503234865,156,33734,5522,8977,3,456
0.001,0.01,0.001,0.3,0.03,0.504320987654321,17.996951379776,156,33734,5522,8977,9,450
0.001,0.01,0.001,0.3,0.1,0.504320987654321,17.980025091171264,156,33734,5522,8977,35,424
0.001,0.01,0.001,0.3,0.3,0.49259259259259264,18.005464935302733,156,33734,5522,8977,110,349
0.001,0.01,0.001,0.3,0.5,0.5049382716049382,18.0048853969574,156,33734,5522,8977,205,254
0.001,0.01,0.001,0.5,0.001,0.49770723104056436,17.83351170539856,156,33734,5522,9216,0,220
0.001,0.01,0.001,0.5,0.003,0.49770723104056436,17.83679301261902,156,33734,5522,9216,0,220
