t0,t1,t2,t3,t4,mrr10,mean_batch_latency_ms,exit_count_0,exit_count_1,exit_count_2,exit_count_3,exit_count_4,exit_count_5
0.03,0.03,0.001,0.001,0.001,0.04387860082304527,7.132814388275147,48844,4,0,0,0,0
0.03,0.03,0.001,0.001,0.003,0.04387860082304527,7.146215391159058,48844,4,0,0,0,0
0.03,0.03,0.001,0.001,0.01,0.04387860082304527,7.166755509376526,48844,4,0,0,0,0
0.03,0.03,0.001,0.001,0.03,0.04387860082304527,7.178179860115051,48844,4,0,0,0,0
0.03,0.03,0.001,0.001,0.1,0.04387860082304527,7.179492173194885,48844,4,0,0,0,0
0.03,0.03,0.001,0.001,0.3,0.04387860082304527,7.190638418197632,48844,4,0,0,0,0
0.03,0.03,0.001,0.001,0.5,0.04387860082304527,7.21830943107605,48844,4,0,0,0,0
0.03,0.03,0.001,0.003,0.001,0.04387860082304527,7.192477111816406,48844,4,0,0,0,0
0.03,0.03,0.001,0.003,0.003,0.04387860082304527,7.2073984050750735,48844,4,0,0,0,0
0.03,0.03,0.001,0.003,0.01,0.04387860082304527,7.204934735298156,48844,4,0,0,0,0
0.03,0.03,0.001,0.003,0.03,0.04387860082304527,7.207536644935608,48844,4,0,0,0,0
0.03,0.03,0.001,0.003,0.1,0.04387860082304527,7.201983685493469,48844,4,0,0,0,0
0.03,0.03,0.001,0.003,0.3,0.04387860082304527,7.210478720664978,48844,4,0,0,0,0
0.03,0.03,0.001,0.003,0.5,0.04387860082304527,7.210019512176514,48844,4,0,0,0,0
0.03,0.03,0.001,0.01,0.001,0.04387860082304527,7.214404458999634,48844,4,0,0,0,0
0.03,0.03,0.001,0.01,0.003,0.04387860082304527,7.220495362281799,48844,4,0,0,0,0
0.03,0.03,0.001,0.01,0.01,0.04387860082304527,7.214600954055786,48844,4,0,0,0,0
0.03,0.03,0.001,0.01,0.03,0.04387860082304527,7.214715838432312,48844,4,0,0,0,0
0.03,0.03,0.001,0.01,0.1,0.04387860082304527,7.217399344444275,48844,4,0,0,0,0
0.03,0.03,0.001,0.01,0.3,0.04387860082304527,7.216002564430237,48844,4,0,0,0,0
0.03,0.03,0.001,0.01,0.5,0.04387860082304527,7.2185120058059695,48844,4,0,0,0,0
0.03,0.03,0.001,0.03,0.001,0.04387860082304527,7.218828482627869,48844,4,0,0,0,0
0.03,0.03,0.001,0.03,0.003,0.04387860082304527,7.216359348297119,48844,4,0,0,0,0
0.03,0.03,0.001,0.03,0.01,0.04387860082304527,7.213169274330139,48844,4,0,0,0,0
0.03,0.03,0.001,0.03,0.03,0.04387860082304527,7.226335344314575,48844,4,0,0,0,0
0.03,0.03,0.001,0.03,0.1,0.04387860082304527,7.224220819473267,48844,4,0,0,0,0
0.03,0.03,0.001,0.03,0.3,0.04387860082304527,7.200649294853211,48844,4,0,0,0,0
0.03,0.03,0.001,0.03,0.5,0.04387860082304527,7.252860493659973,48844,4,0,0,0,0
0.03,0.03,0.001,0.1,0.001,0.04387860082304527,7.222628154754639,48844,4,0,0,0,0
0.03,0.03,0.001,0.1,0.003,0.04387860082304527,7.2183161640167235,48844,4,0,0,0,0
0.03,0.03,0.001,0.1,0.01,0.04387860082304527,7.217447996139526,48844,4,0,0,0,0
0.03,0.03,0.001,0.1,0.03,0.04387860082304527,7.229941749572754,48844,4,0,0,0,0
0.03,0.03,0.001,0.1,0.1,0.04387860082304527,7.234116177558899,48844,4,0,0,0,0
0.03,0.03,0.001,0.1,0.3,0.04387860082304527,7.223975358009338,48844,4,0,0,0,0
0.03,0.03,0.001,0.1,0.5,0.04387860082304527,7.220424308776855,48844,4,0,0,0,0
0.03,0.03,0.001,0.3,0.001,0.04387860082304527,7.220222039222717,48844,4,0,0,0,0
0.03,0.03,0.001,0.3,0.003,0.04387860082304527,7.2252432203292845,48844,4,0,0,0,0
