t0,t1,t2,t3,t4,mrr10,mean_batch_latency_ms,exit_count_0,exit_count_1,exit_count_2,exit_count_3,exit_count_4,exit_count_5
0.3,0.3,0.001,0.001,0.001,0.04387860082304527,7.072228140830994,48848,0,0,0,0,0
0.3,0.3,0.001,0.001,0.003,0.04387860082304527,7.08806272983551,48848,0,0,0,0,0
0.3,0.3,0.001,0.001,0.01,0.04387860082304527,7.099367995262146,48848,0,0,0,0,0
0.3,0.3,0.001,0.001,0.03,0.04387860082304527,7.10554434299469,48848,0,0,0,0,0
0.3,0.3,0.001,0.001,0.1,0.04387860082304527,7.1185222291946415,48848,0,0,0,0,0
0.3,0.3,0.001,0.001,0.3,0.04387860082304527,7.121101775169373,48848,0,0,0,0,0
0.3,0.3,0.001,0.001,0.5,0.04387860082304527,7.122819528579712,48848,0,0,0,0,0
0.3,0.3,0.001,0.003,0.001,0.04387860082304527,7.1307148742675786,48848,0,0,0,0,0
0.3,0.3,0.001,0.003,0.003,0.04387860082304527,7.135500473976135,48848,0,0,0,0,0
0.3,0.3,0.001,0.003,0.01,0.04387860082304527,7.134987215995789,48848,0,0,0,0,0
0.3,0.3,0.001,0.003,0.03,0.04387860082304527,7.135300149917603,48848,0,0,0,0,0
0.3,0.3,0.001,0.003,0.1,0.04387860082304527,7.13758623123169,48848,0,0,0,0,0
0.3,0.3,0.001,0.003,0.3,0.04387860082304527,7.138788805007935,48848,0,0,0,0,0
0.3,0.3,0.001,0.003,0.5,0.04387860082304527,7.138470392227173,48848,0,0,0,0,0
0.3,0.3,0.001,0.01,0.001,0.04387860082304527,7.136787176132202,48848,0,0,0,0,0
0.3,0.3,0.001,0.01,0.003,0.04387860082304527,7.1402307224273684,48848,0,0,0,0,0
0.3,0.3,0.001,0.01,0.01,0.04387860082304527,7.138147196769714,48848,0,0,0,0,0
0.3,0.3,0.001,0.01,0.03,0.04387860082304527,7.138485765457153,48848,0,0,0,0,0
0.3,0.3,0.001,0.01,0.1,0.04387860082304527,7.142414364814758,48848,0,0,0,0,0
0.3,0.3,0.001,0.01,0.3,0.04387860082304527,7.141544318199157,48848,0,0,0,0,0
0.3,0.3,0.001,0.01,0.5,0.04387860082304527,7.140549445152283,48848,0,0,0,0,0
0.3,0.3,0.001,0.03,0.001,0.04387860082304527,7.143589129447937,48848,0,0,0,0,0
0.3,0.3,0.001,0.03,0.003,0.04387860082304527,7.139691867828369,48848,0,0,0,0,0
0.3,0.3,0.001,0.03,0.01,0.04387860082304527,7.143856644630432,48848,0,0,0,0,0
0.3,0.3,0.001,0.03,0.03,0.04387860082304527,7.14127935886383,48848,0,0,0,0,0
0.3,0.3,0.001,0.03,0.1,0.04387860082304527,7.14087902545929,48848,0,0,0,0,0
0.3,0.3,0.001,0.03,0.3,0.04387860082304527,7.136193590164185,48848,0,0,0,0,0
0.3,0.3,0.001,0.03,0.5,0.04387860082304527,7.139469428062439,48848,0,0,0,0,0
0.3,0.3,0.001,0.1,0.001,0.04387860082304527,7.139523506164551,48848,0,0,0,0,0
0.3,0.3,0.001,0.1,0.003,0.04387860082304527,7.1921843242645265,48848,0,0,0,0,0
0.3,0.3,0.001,0.1,0.01,0.04387860082304527,7.142128629684448,48848,0,0,0,0,0
0.3,0.3,0.001,0.1,0.03,0.04387860082304527,7.138552017211914,48848,0,0,0,0,0
0.3,0.3,0.001,0.1,0.1,0.04387860082304527,7.140113282203674,48848,0,0,0,0,0
0.3,0.3,0.001,0.1,0.3,0.04387860082304527,7.135639667510986,48848,0,0,0,0,0
0.3,0.3,0.001,0.1,0.5,0.04387860082304527,7.137810921669006,48848,0,0,0,0,0
0.3,0.3,0.001,0.3,0.001,0.04387860082304527,7.142717418670654,48848,0,0,0,0,0
0.3,0.3,0.001,0.3,0.003,0.04387860082304527,7.140151052474976,48848,0,0,0,0,0
0.3,0.3,0.001,0.3,0.01,0.04387860082304527,7.1487625694274906,48848,0,0,0,0,0
0.3,0.3,0.001,0.3,0.03,0.04387860082304527,7.14116512298584,48848,0,0,0,0,0
0.3,0.3,0.001,0.3,0.1,0.04387860082304527,7.143545932769776,48848,0,0,0,0,0
0.3,0.3,0.001,0.3,0.3,0.04387860082304527,7.149038057327271,48848,0,0,0,0,0
0.3,0.3,0.001,0.3,0.5,0.04387860082304527,7.142931838035583,48848,0,0,0,0,0
0.3,0.3,0.001,0.5,0.001,0.04387860082304527,7.1398044776916505,48848,0,0,0,0,0
0.3,0.3,0.001,0.5,0.003,0.04387860082304527,7.142576961517334,48848,0,0,0,0,0
0.3,0.3,0.001,0.5,0.01,0.04387860082304527,7.140295662879944,48848,0,0,0,0,0
0.3,0.3,0.001,0.5,0.03,0.04387860082304527,7.141935677528381,48848,0,0,0,0,0
0.3,0.3,0.001,0.5,0.1,0.04387860082304527,7.139538245201111,48848,0,0,0,0,0
0.3,0.3,0.001,0.5,0.3,0.04387860082304527,7.140208973884582,48848,0,0,0,0,0
0.3,0.3,0.001,0.5,0.5,0.04387860082304527,7.140883188247681,48848,0,0,0,0,0
0.3,0.3,0.003,0.001,0.001,0.04387860082304527,7.138503999710083,48848,0,0,0,0,0
0.3,0.3,0.003,0.001,0.003,0.04387860082304527,7.143452153205872,48848,0,0,0,0,0
0.3,0.3,0.003,0.001,0.01,0.04387860082304527,7.135811214447021,48848,0,0,0,0,0
0.3,0.3,0.003,0.001,0.03,0.04387860082304527,7.137614717483521,48848,0,0,0,0,0
0.3,0.3,0.003,0.001,0.1,0.04387860082304527,7.139191384315491,48848,0,0,0,0,0
0.3,0.3,0.003,0.001,0.3,0.04387860082304527,7.142116479873657,48848,0,0,0,0,0
0.3,0.3,0.003,0.001,0.5,0.04387860082304527,7.139328937530518,48848,0,0,0,0,0
0.3,0.3,0.003,0.003,0.001,0.04387860082304527,7.140132799148559,48848,0,0,0,0,0
0.3,0.3,0.003,0.003,0.003,0.04387860082304527,7.13789822101593,48848,0,0,0,0,0
0.3,0.3,0.003,0.003,0.01,0.04387860082304527,7.142634258270264,48848,0,0,0,0,0
0.3,0.3,0.003,0.003,0.03,0.04387860082304527,7.141742386817932,48848,0,0,0,0,0
0.3,0.3,0.003,0.003,0.1,0.04387860082304527,7.141791672706604,48848,0,0,0,0,0
0.3,0.3,0.003,0.003,0.3,0.04387860082304527,7.1670284795761106,48848,0,0,0,0,0
0.3,0.3,0.003,0.003,0.5,0.04387860082304527,7.139139513969422,48848,0,0,0,0,0
0.3,0.3,0.003,0.01,0.001,0.04387860082304527,7.138523216247559,48848,0,0,0,0,0
0.3,0.3,0.003,0.01,0.003,0.04387860082304527,7.1379315328598025,48848,0,0,0,0,0
0.3,0.3,0.003,0.01,0.01,0.04387860082304527,7.136779518127441,48848,0,0,0,0,0
0.3,0.3,0.003,0.01,0.03,0.04387860082304527,7.140765795707702,48848,0,0,0,0,0
0.3,0.3,0.003,0.01,0.1,0.04387860082304527,7.137734379768371,48848,0,0,0,0,0
0.3,0.3,0.003,0.01,0.3,0.04387860082304527,7.135605120658875,48848,0,0,0,0,0
0.3,0.3,0.003,0.01,0.5,0.04387860082304527,7.12946879863739,48848,0,0,0,0,0
0.3,0.3,0.003,0.03,0.001,0.04387860082304527,7.1384130954742435,48848,0,0,0,0,0
0.3,0.3,0.003,0.03,0.003,0.04387860082304527,7.139675846099854,48848,0,0,0,0,0
0.3,0.3,0.003,0.03,0.01,0.04387860082304527,7.144548478126526,48848,0,0,0,0,0
0.3,0.3,0.003,0.03,0.03,0.04387860082304527,7.134875497817993,48848,0,0,0,0,0
0.3,0.3,0.003,0.03,0.1,0.04387860082304527,7.1381267023086545,48848,0,0,0,0,0
0.3,0.3,0.003,0.03,0.3,0.04387860082304527,7.1388748741149906,48848,0,0,0,0,0
0.3,0.3,0.003,0.03,0.5,0.04387860082304527,7.130559983253479,48848,0,0,0,0,0
0.3,0.3,0.003,0.1,0.001,0.04387860082304527,7.136094398498535,48848,0,0,0,0,0
0.3,0.3,0.003,0.1,0.003,0.04387860082304527,7.132139191627503,48848,0,0,0,0,0
0.3,0.3,0.003,0.1,0.01,0.04387860082304527,7.135677118301391,48848,0,0,0,0,0
0.3,0.3,0.003,0.1,0.03,0.04387860082304527,7.137711687088013,48848,0,0,0,0,0
0.3,0.3,0.003,0.1,0.1,0.04387860082304527,7.138368649482727,48848,0,0,0,0,0
0.3,0.3,0.003,0.1,0.3,0.04387860082304527,7.135616307258606,48848,0,0,0,0,0
0.3,0.3,0.003,0.1,0.5,0.04387860082304527,7.141426892280578,48848,0,0,0,0,0
0.3,0.3,0.003,0.3,0.001,0.04387860082304527,7.1392336130142215,48848,0,0,0,0,0
0.3,0.3,0.003,0.3,0.003,0.04387860082304527,7.135096325874328,48848,0,0,0,0,0
0.3,0.3,0.003,0.3,0.01,0.04387860082304527,7.134878416061401,48848,0,0,0,0,0
0.3,0.3,0.003,0.3,0.03,0.04387860082304527,7.138271689414978,48848,0,0,0,0,0
0.3,0.3,0.003,0.3,0.1,0.04387860082304527,7.136588482856751,48848,0,0,0,0,0
0.3,0.3,0.003,0.3,0.3,0.04387860082304527,7.140241918563842,48848,0,0,0,0,0
0.3,0.3,0.003,0.3,0.5,0.04387860082304527,7.138258242607117,48848,0,0,0,0,0
0.3,0.3,0.003,0.5,0.001,0.04387860082304527,7.140914587974549,48848,0,0,0,0,0
0.3,0.3,0.003,0.5,0.003,0.04387860082304527,7.13825665473938,48848,0,0,0,0,0
0.3,0.3,0.003,0.5,0.01,0.04387860082304527,7.197289900779724,48848,0,0,0,0,0
0.3,0.3,0.003,0.5,0.03,0.04387860082304527,7.141203546524048,48848,0,0,0,0,0
0.3,0.3,0.003,0.5,0.1,0.04387860082304527,7.142145276069641,48848,0,0,0,0,0
0.3,0.3,0.003,0.5,0.3,0.04387860082304527,7.140113611221313,48848,0,0,0,0,0
0.3,0.3,0.003,0.5,0.5,0.04387860082304527,7.145103340148926,48848,0,0,0,0,0
0.3,0.3,0.01,0.001,0.001,0.04387860082304527,7.139489588737487,48848,0,0,0,0,0
0.3,0.3,0.01,0.001,0.003,0.04387860082304527,7.139223999977112,48848,0,0,0,0,0
0.3,0.3,0.01,0.001,0.01,0.04387860082304527,7.137769284248352,48848,0,0,0,0,0
0.3,0.3,0.01,0.001,0.03,0.04387860082304527,7.138913617134095,48848,0,0,0,0,0
0.3,0.3,0.01,0.001,0.1,0.04387860082304527,7.142956795692444,48848,0,0,0,0,0
