t0,t1,t2,t3,t4,mrr10,mean_batch_latency_ms,exit_count_0,exit_count_1,exit_count_2,exit_count_3,exit_count_4,exit_count_5
0.001,0.03,0.001,0.001,0.001,0.3189006466784245,15.720073223114014,156,45066,593,904,855,1274
0.001,0.03,0.001,0.001,0.003,0.3189006466784245,15.660623416900634,156,45066,593,904,1147,982
0.001,0.03,0.001,0.001,0.01,0.3189006466784245,15.614810838699341,156,45066,593,904,1405,724
0.001,0.03,0.001,0.001,0.03,0.3189006466784245,15.637864904403687,156,45066,593,904,1575,554
0.001,0.03,0.001,0.001,0.1,0.33649323927101704,15.61611777305603,156,45066,593,904,1743,386
0.001,0.03,0.001,0.001,0.3,0.33649323927101704,15.615183973312378,156,45066,593,904,1882,247
0.001,0.03,0.001,0.001,0.5,0.358098177542622,15.592271451950074,156,45066,593,904,1960,169
0.001,0.03,0.001,0.003,0.001,0.3189006466784245,15.731001987457276,156,45066,593,1219,565,1249
0.001,0.03,0.001,0.003,0.003,0.3189006466784245,15.712669353485108,156,45066,593,1219,838,976
0.001,0.03,0.001,0.003,0.01,0.3189006466784245,15.684442853927612,156,45066,593,1219,1091,723
0.001,0.03,0.001,0.003,0.03,0.3189006466784245,15.671748514175414,156,45066,593,1219,1260,554
0.001,0.03,0.001,0.003,0.1,0.33649323927101704,15.665960340499877,156,45066,593,1219,1428,386
0.001,0.03,0.001,0.003,0.3,0.33649323927101704,15.663197450637817,156,45066,593,1219,1567,247
0.001,0.03,0.001,0.003,0.5,0.358098177542622,15.659366760253906,156,45066,593,1219,1645,169
0.001,0.03,0.001,0.01,0.001,0.3189006466784245,15.683290853500367,156,45066,593,1694,204,1135
0.001,0.03,0.001,0.01,0.003,0.3189006466784245,15.661015129089355,156,45066,593,1694,405,934
0.001,0.03,0.001,0.01,0.01,0.3189006466784245,15.674449949264526,156,45066,593,1694,625,714
0.001,0.03,0.001,0.01,0.03,0.3189006466784245,15.652471714019775,156,45066,593,1694,790,549
0.001,0.03,0.001,0.01,0.1,0.33649323927101704,15.678077764511109,156,45066,593,1694,953,386
0.001,0.03,0.001,0.01,0.3,0.33649323927101704,15.636268806457519,156,45066,593,1694,1092,247
0.001,0.03,0.001,0.01,0.5,0.358098177542622,15.618154907226563,156,45066,593,1694,1170,169
0.001,0.03,0.001,0.03,0.001,0.31797472075249855,15.561635246276856,156,45066,593,2099,50,884
0.001,0.03,0.001,0.03,0.003,0.31797472075249855,15.574905242919922,156,45066,593,2099,139,795
0.001,0.03,0.001,0.03,0.01,0.31797472075249855,15.614831056594848,156,45066,593,2099,270,664
0.001,0.03,0.001,0.03,0.03,0.31797472075249855,15.584616985321045,156,45066,593,2099,399,535
0.001,0.03,0.001,0.03,0.1,0.33649323927101704,15.580819272994995,156,45066,593,2099,552,382
0.001,0.03,0.001,0.03,0.3,0.33649323927101704,15.573019180297852,156,45066,593,2099,688,246
0.001,0.03,0.001,0.03,0.5,0.358098177542622,15.538385591506959,156,45066,593,2099,765,169
0.001,0.03,0.001,0.1,0.001,0.33649323927101704,15.413144578933716,156,45066,593,2511,0,522
0.001,0.03,0.001,0.1,0.003,0.33649323927101704,15.407831659317017,156,45066,593,2511,9,513
0.001,0.03,0.001,0.1,0.01,0.33649323927101704,15.401590099334717,156,45066,593,2511,30,492
0.001,0.03,0.001,0.1,0.03,0.33649323927101704,15.405784339904786,156,45066,593,2511,77,445
0.001,0.03,0.001,0.1,0.1,0.3550117577895356,15.418776922225952,156,45066,593,2511,164,358
0.001,0.03,0.001,0.1,0.3,0.3550117577895356,15.40782811164856,156,45066,593,2511,280,242
0.001,0.03,0.001,0.1,0.5,0.3766166960611405,15.383192319869995,156,45066,593,2511,354,168
0.001,0.03,0.001,0.3,0.001,0.3472957084068195,15.239721593856812,156,45066,593,2789,0,244
0.001,0.03,0.001,0.3,0.003,0.3472957084068195,15.247384347915649,156,45066,593,2789,0,244
0.001,0.03,0.001,0.3,0.01,0.3472957084068195,15.249826221466064,156,45066,593,2789,0,244
0.001,0.03,0.001,0.3,0.03,0.3472957084068195,15.249376029968262,156,45066,593,2789,2,242
0.001,0.03,0.001,0.3,0.1,0.365814226925338,15.249352922439575,156,45066,593,2789,14,230
0.001,0.03,0.001,0.3,0.3,0.3633450911228689,15.265017566680909,156,45066,593,2789,50,194
0.001,0.03,0.001,0.3,0.5,0.37569077013521457,15.245822401046754,156,45066,593,2789,96,148
0.001,0.03,0.001,0.5,0.001,0.365814226925338,15.199201307296754,156,45066,593,2894,0,139
0.001,0.03,0.001,0.5,0.003,0.365814226925338,15.179971227645874,156,45066,593,2894,0,139
0.001,0.03,0.001,0.5,0.01,0.365814226925338,15.180667839050294,156,45066,593,2894,0,139
0.001,0.03,0.001,0.5,0.03,0.365814226925338,15.18030426979065,156,45066,593,2894,1,138
0.001,0.03,0.001,0.5,0.1,0.365814226925338,15.185211839675903,156,45066,593,2894,3,136
0.001,0.03,0.001,0.5,0.3,0.365814226925338,15.218856315612793,156,45066,593,2894,14,125
0.001,0.03,0.001,0.5,0.5,0.3781599059376837,15.19275941848755,156,45066,593,2894,42,97
0.001,0.03,0.003,0.001,0.001,0.3189006466784245,15.904571857452392,156,45066,922,597,836,1271
0.001,0.03,0.003,0.001,0.003,0.3189006466784245,15.866794242858887,156,45066,922,597,1127,980
0.001,0.03,0.003,0.001,0.01,0.3189006466784245,15.827930812835694,156,45066,922,597,1385,722
0.001,0.03,0.003,0.001,0.03,0.3189006466784245,15.807814483642579,156,45066,922,597,1555,552
0.001,0.03,0.003,0.001,0.1,0.33649323927101704,15.783118381500245,156,45066,922,597,1721,386
