t0,t1,t2,t3,t4,patience,mrr10,mean_batch_latency_ms,exit_count_0,exit_count_1,exit_count_2,exit_count_3,exit_count_4,exit_count_5
0.003,0.001,0.001,0.001,0.001,2,0.6188786008230452,27.73358455657959,0,5248,16115,16349,4321,6815
0.003,0.001,0.001,0.001,0.003,2,0.6184376837154615,27.817894973754882,0,5248,16115,16349,4486,6650
0.003,0.001,0.001,0.001,0.01,2,0.6184376837154615,27.868750972747804,0,5248,16115,16349,4509,6627
0.003,0.001,0.001,0.001,0.03,2,0.6184376837154615,27.899111042022707,0,5248,16115,16349,4510,6626
0.003,0.001,0.001,0.001,0.1,2,0.6184376837154615,27.903096046447754,0,5248,16115,16349,4510,6626
0.003,0.001,0.001,0.001,0.3,2,0.6184376837154615,27.918022956848144,0,5248,16115,16349,4510,6626
0.003,0.001,0.001,0.001,0.5,2,0.6184376837154615,28.10907745361328,0,5248,16115,16349,4510,6626
0.003,0.001,0.001,0.003,0.001,2,0.6235082304526749,27.79776704788208,0,5248,16115,16425,5553,5507
0.003,0.001,0.001,0.003,0.003,2,0.6197530864197531,27.747990398406984,0,5248,16115,16425,6045,5015
0.003,0.001,0.001,0.003,0.01,2,0.6197530864197531,27.72911008834839,0,5248,16115,16425,6181,4879
0.003,0.001,0.001,0.003,0.03,2,0.6197530864197531,27.7139448928833,0,5248,16115,16425,6202,4858
0.003,0.001,0.001,0.003,0.1,2,0.6197530864197531,27.722635231018067,0,5248,16115,16425,6211,4849
0.003,0.001,0.001,0.003,0.3,2,0.6197530864197531,27.717852840423586,0,5248,16115,16425,6212,4848
0.003,0.001,0.001,0.003,0.5,2,0.6197530864197531,27.7459285736084,0,5248,16115,16425,6212,4848
0.003,0.001,0.001,0.01,0.001,2,0.6235082304526749,27.759979839324952,0,5248,16115,16432,6172,4881
0.003,0.001,0.001,0.01,0.003,2,0.6197530864197531,27.65395435333252,0,5248,16115,16432,7148,3905
0.003,0.001,0.001,0.01,0.01,2,0.6174382716049384,27.550712947845458,0,5248,16115,16432,7601,3452
0.003,0.001,0.001,0.01,0.03,2,0.6174382716049384,27.48886909484863,0,5248,16115,16432,7730,3323
0.003,0.001,0.001,0.01,0.1,2,0.6081790123456791,27.515726985931398,0,5248,16115,16432,7765,3288
0.003,0.001,0.001,0.01,0.3,2,0.6081790123456791,27.50480001449585,0,5248,16115,16432,7770,3283
0.003,0.001,0.001,0.01,0.5,2,0.6081790123456791,27.80045852661133,0,5248,16115,16432,7770,3283
0.003,0.001,0.001,0.03,0.001,2,0.6235082304526749,27.77116714477539,0,5248,16115,16434,6352,4699
0.003,0.001,0.001,0.03,0.003,2,0.6197530864197531,27.662917728424073,0,5248,16115,16434,7640,3411
0.003,0.001,0.001,0.03,0.01,2,0.6174382716049384,27.46765884399414,0,5248,16115,16434,8483,2568
0.003,0.001,0.001,0.03,0.03,2,0.6176440329218106,27.39108840942383,0,5248,16115,16434,8886,2165
0.003,0.001,0.001,0.03,0.1,2,0.6083847736625514,27.34673406600952,0,5248,16115,16434,9017,2034
0.003,0.001,0.001,0.03,0.3,2,0.6079438565549677,27.354330463409426,0,5248,16115,16434,9034,2017
0.003,0.001,0.001,0.03,0.5,2,0.6079438565549677,27.40478593826294,0,5248,16115,16434,9034,2017
0.003,0.001,0.001,0.1,0.001,2,0.6235082304526749,27.740579833984373,0,5248,16115,16434,6376,4675
0.003,0.001,0.001,0.1,0.003,2,0.6197530864197531,27.63203649520874,0,5248,16115,16434,7758,3293
0.003,0.001,0.001,0.1,0.01,2,0.6143518518518518,27.424869384765625,0,5248,16115,16434,8829,2222
0.003,0.001,0.001,0.1,0.03,2,0.6145576131687243,27.289183444976807,0,5248,16115,16434,9517,1534
0.003,0.001,0.001,0.1,0.1,2,0.6048574368018812,27.165843105316164,0,5248,16115,16434,9905,1146
0.003,0.001,0.001,0.1,0.3,2,0.6045267489711934,27.127291374206543,0,5248,16115,16434,10020,1031
0.003,0.001,0.001,0.1,0.5,2,0.6045267489711934,27.187945289611818,0,5248,16115,16434,10030,1021
0.003,0.001,0.001,0.3,0.001,2,0.6235082304526749,27.744397010803223,0,5248,16115,16434,6377,4674
0.003,0.001,0.001,0.3,0.003,2,0.6197530864197531,27.60781894683838,0,5248,16115,16434,7762,3289
0.003,0.001,0.001,0.3,0.01,2,0.6143518518518518,27.40905080795288,0,5248,16115,16434,8853,2198
0.003,0.001,0.001,0.3,0.03,2,0.6145576131687243,27.261306171417235,0,5248,16115,16434,9620,1431
0.003,0.001,0.001,0.3,0.1,2,0.6048574368018812,27.176627807617187,0,5248,16115,16434,10203,848
0.003,0.001,0.001,0.3,0.3,2,0.6029835390946502,27.035706176757813,0,5248,16115,16434,10564,487
0.003,0.001,0.001,0.3,0.5,2,0.6029835390946502,27.03372037887573,0,5248,16115,16434,10648,403
0.003,0.001,0.001,0.5,0.001,2,0.6235082304526749,27.73302761077881,0,5248,16115,16434,6377,4674
0.003,0.001,0.001,0.5,0.003,2,0.6197530864197531,27.629457874298097,0,5248,16115,16434,7762,3289
0.003,0.001,0.001,0.5,0.01,2,0.6143518518518518,27.439441013336182,0,5248,16115,16434,8853,2198
0.003,0.001,0.001,0.5,0.03,2,0.6145576131687243,27.288133163452148,0,5248,16115,16434,9621,1430
0.003,0.001,0.001,0.5,0.1,2,0.6048574368018812,27.1846453666687,0,5248,16115,16434,10224,827
0.003,0.001,0.001,0.5,0.3,2,0.6029835390946502,27.066716480255128,0,5248,16115,16434,10649,402
0.003,0.001,0.001,0.5,0.5,2,0.6029835390946502,26.96311761856079,0,5248,16115,16434,10819,232
0.003,0.001,0.003,0.001,0.001,2,0.6091784244562022,27.522208042144776,0,5248,16240,18830,1820,6710
0.003,0.001,0.003,0.001,0.003,2,0.6085905349794238,27.516992321014403,0,5248,16240,18830,1915,6615
0.003,0.001,0.003,0.001,0.01,2,0.6085905349794238,27.73011447906494,0,5248,16240,18830,1928,6602
0.003,0.001,0.003,0.001,0.03,2,0.6085905349794238,27.50932954788208,0,5248,16240,18830,1928,6602
0.003,0.001,0.003,0.001,0.1,2,0.6085905349794238,27.516705570220946,0,5248,16240,18830,1928,6602
0.003,0.001,0.003,0.001,0.3,2,0.6085905349794238,27.520257453918457,0,5248,16240,18830,1928,6602
0.003,0.001,0.003,0.001,0.5,2,0.6085905349794238,27.521475830078124,0,5248,16240,18830,1928,6602
0.003,0.001,0.003,0.003,0.001,2,0.6138080540858318,27.43057683944702,0,5248,16240,19199,2828,5333
0.003,0.001,0.003,0.003,0.003,2,0.6109567901234568,27.344455947875975,0,5248,16240,19199,3196,4965
0.003,0.001,0.003,0.003,0.01,2,0.6109567901234568,27.359334602355958,0,5248,16240,19199,3298,4863
0.003,0.001,0.003,0.003,0.03,2,0.6109567901234568,27.30101463317871,0,5248,16240,19199,3311,4850
0.003,0.001,0.003,0.003,0.1,2,0.6109567901234568,27.293607025146486,0,5248,16240,19199,3318,4843
0.003,0.001,0.003,0.003,0.3,2,0.6109567901234568,27.30467908859253,0,5248,16240,19199,3319,4842
0.003,0.001,0.003,0.003,0.5,2,0.6109567901234568,27.31734308242798,0,5248,16240,19199,3319,4842
0.003,0.001,0.003,0.01,0.001,2,0.6138080540858318,27.422696685791017,0,5248,16240,19282,3413,4665
0.003,0.001,0.003,0.01,0.003,2,0.6063271604938272,27.239525508880615,0,5248,16240,19282,4247,3831
0.003,0.001,0.003,0.01,0.01,2,0.6040123456790124,27.165850257873537,0,5248,16240,19282,4650,3428
0.003,0.001,0.003,0.01,0.03,2,0.6040123456790124,27.17077856063843,0,5248,16240,19282,4760,3318
0.003,0.001,0.003,0.01,0.1,2,0.5947530864197531,27.14300205230713,0,5248,16240,19282,4792,3286
0.003,0.001,0.003,0.01,0.3,2,0.5947530864197531,27.257666244506837,0,5248,16240,19282,4797,3281
0.003,0.001,0.003,0.01,0.5,2,0.5947530864197531,27.11972219467163,0,5248,16240,19282,4797,3281
0.003,0.001,0.003,0.03,0.001,2,0.6138080540858318,27.287874393463134,0,5248,16240,19297,3593,4470
0.003,0.001,0.003,0.03,0.003,2,0.6063271604938272,27.225811805725098,0,5248,16240,19297,4735,3328
0.003,0.001,0.003,0.03,0.01,2,0.6040123456790124,27.079695072174072,0,5248,16240,19297,5521,2542
0.003,0.001,0.003,0.03,0.03,2,0.6042181069958849,27.025860843658446,0,5248,16240,19297,5901,2162
0.003,0.001,0.003,0.03,0.1,2,0.5949588477366256,26.94402265548706,0,5248,16240,19297,6029,2034
0.003,0.001,0.003,0.03,0.3,2,0.5945179306290418,26.945286350250242,0,5248,16240,19297,6046,2017
0.003,0.001,0.003,0.03,0.5,2,0.5945179306290418,26.926511344909667,0,5248,16240,19297,6046,2017
0.003,0.001,0.003,0.1,0.001,2,0.6138080540858318,27.285791034698487,0,5248,16240,19298,3617,4445
0.003,0.001,0.003,0.1,0.003,2,0.6063271604938272,27.444411849975587,0,5248,16240,19298,4852,3210
0.003,0.001,0.003,0.1,0.01,2,0.6030864197530865,27.022136325836183,0,5248,16240,19298,5866,2196
0.003,0.001,0.003,0.1,0.03,2,0.6032921810699589,26.892119426727294,0,5248,16240,19298,6531,1531
0.003,0.001,0.003,0.1,0.1,2,0.5935920047031159,26.763564548492432,0,5248,16240,19298,6916,1146
0.003,0.001,0.003,0.1,0.3,2,0.593261316872428,26.716644477844238,0,5248,16240,19298,7031,1031
0.003,0.001,0.003,0.1,0.5,2,0.593261316872428,26.74853187561035,0,5248,16240,19298,7041,1021
0.003,0.001,0.003,0.3,0.001,2,0.6138080540858318,27.283965759277343,0,5248,16240,19298,3618,4444
0.003,0.001,0.003,0.3,0.003,2,0.6063271604938272,27.192109546661378,0,5248,16240,19298,4856,3206
0.003,0.001,0.003,0.3,0.01,2,0.6030864197530865,27.018514423370362,0,5248,16240,19298,5890,2172
0.003,0.001,0.003,0.3,0.03,2,0.6032921810699589,26.880192623138427,0,5248,16240,19298,6634,1428
0.003,0.001,0.003,0.3,0.1,2,0.5935920047031159,26.832315521240233,0,5248,16240,19298,7214,848
0.003,0.001,0.003,0.3,0.3,2,0.5917181069958848,26.675388870239257,0,5248,16240,19298,7575,487
0.003,0.001,0.003,0.3,0.5,2,0.5917181069958848,26.66118663787842,0,5248,16240,19298,7659,403
0.003,0.001,0.003,0.5,0.001,2,0.6138080540858318,27.567033309936523,0,5248,16240,19298,3618,4444
0.003,0.001,0.003,0.5,0.003,2,0.6063271604938272,27.187856559753417,0,5248,16240,19298,4856,3206
0.003,0.001,0.003,0.5,0.01,2,0.6030864197530865,27.11722309112549,0,5248,16240,19298,5890,2172
0.003,0.001,0.003,0.5,0.03,2,0.6032921810699589,26.88151580810547,0,5248,16240,19298,6635,1427
0.003,0.001,0.003,0.5,0.1,2,0.5935920047031159,26.724084224700928,0,5248,16240,19298,7235,827
0.003,0.001,0.003,0.5,0.3,2,0.5917181069958848,26.67277025222778,0,5248,16240,19298,7660,402
0.003,0.001,0.003,0.5,0.5,2,0.5917181069958848,26.584564151763917,0,5248,16240,19298,7830,232
0.003,0.001,0.01,0.001,0.001,2,0.6091784244562022,27.113706512451174,0,5248,16275,20271,445,6609
0.003,0.001,0.01,0.001,0.003,2,0.6088477366255144,27.132968654632567,0,5248,16275,20271,470,6584
0.003,0.001,0.01,0.001,0.01,2,0.6088477366255144,27.121041889190675,0,5248,16275,20271,473,6581
0.003,0.001,0.01,0.001,0.03,2,0.6088477366255144,27.125141201019286,0,5248,16275,20271,473,6581
