t0,t1,t2,t3,t4,patience,mrr10,mean_batch_latency_ms,exit_count_0,exit_count_1,exit_count_2,exit_count_3,exit_count_4,exit_count_5
0.001,0.5,0.001,0.001,0.001,2,0.5981481481481481,25.521208324432372,0,1061,36762,0,4314,6711
0.001,0.5,0.001,0.001,0.003,2,0.5977072310405644,25.60424421310425,0,1061,36762,0,4479,6546
0.001,0.5,0.001,0.001,0.01,2,0.5977072310405644,25.69945568084717,0,1061,36762,0,4502,6523
0.001,0.5,0.001,0.001,0.03,2,0.5977072310405644,25.749039764404298,0,1061,36762,0,4503,6522
0.001,0.5,0.001,0.001,0.1,2,0.5977072310405644,25.74385311126709,0,1061,36762,0,4503,6522
0.001,0.5,0.001,0.001,0.3,2,0.5977072310405644,25.753604793548583,0,1061,36762,0,4503,6522
0.001,0.5,0.001,0.001,0.5,2,0.5977072310405644,25.796570949554443,0,1061,36762,0,4503,6522
0.001,0.5,0.001,0.003,0.001,2,0.6027777777777777,25.63973217010498,0,1061,36762,0,5553,5472
0.001,0.5,0.001,0.003,0.003,2,0.6010802469135803,25.581844177246094,0,1061,36762,0,6044,4981
0.001,0.5,0.001,0.003,0.01,2,0.6010802469135803,25.61844961166382,0,1061,36762,0,6180,4845
0.001,0.5,0.001,0.003,0.03,2,0.6010802469135803,25.666926383972168,0,1061,36762,0,6201,4824
0.001,0.5,0.001,0.003,0.1,2,0.6010802469135803,25.546667213439942,0,1061,36762,0,6210,4815
0.001,0.5,0.001,0.003,0.3,2,0.6010802469135803,25.582612171173096,0,1061,36762,0,6211,4814
0.001,0.5,0.001,0.003,0.5,2,0.6010802469135803,25.73034278869629,0,1061,36762,0,6211,4814
0.001,0.5,0.001,0.01,0.001,2,0.6027777777777777,25.610765476226806,0,1061,36762,0,6172,4853
0.001,0.5,0.001,0.01,0.003,2,0.6010802469135803,25.42981746673584,0,1061,36762,0,7147,3878
0.001,0.5,0.001,0.01,0.01,2,0.5987654320987654,25.39458335876465,0,1061,36762,0,7600,3425
0.001,0.5,0.001,0.01,0.03,2,0.5987654320987654,25.34010269165039,0,1061,36762,0,7730,3295
