t0,t1,t2,t3,t4,patience,mrr10,mean_batch_latency_ms,exit_count_0,exit_count_1,exit_count_2,exit_count_3,exit_count_4,exit_count_5
0.01,0.3,0.001,0.001,0.001,3,0.6137860082304527,27.614767723083496,0,0,22767,14904,1,11176
0.01,0.3,0.001,0.001,0.003,3,0.6137860082304527,27.853388843536376,0,0,22767,14904,1,11176
0.01,0.3,0.001,0.001,0.01,3,0.6137860082304527,27.85772283554077,0,0,22767,14904,1,11176
0.01,0.3,0.001,0.001,0.03,3,0.6137860082304527,27.889760341644287,0,0,22767,14904,1,11176
0.01,0.3,0.001,0.001,0.1,3,0.6137860082304527,27.897495059967042,0,0,22767,14904,1,11176
0.01,0.3,0.001,0.001,0.3,3,0.6137860082304527,27.925392322540283,0,0,22767,14904,1,11176
0.01,0.3,0.001,0.001,0.5,3,0.6137860082304527,27.903115577697754,0,0,22767,14904,1,11176
0.01,0.3,0.001,0.003,0.001,3,0.6137860082304527,27.953359603881836,0,0,22767,14941,1,11139
0.01,0.3,0.001,0.003,0.003,3,0.6137860082304527,27.945663375854494,0,0,22767,14941,1,11139
0.01,0.3,0.001,0.003,0.01,3,0.6137860082304527,27.94255754470825,0,0,22767,14941,1,11139
0.01,0.3,0.001,0.003,0.03,3,0.6137860082304527,27.954358367919923,0,0,22767,14941,1,11139
0.01,0.3,0.001,0.003,0.1,3,0.6137860082304527,27.929608631134034,0,0,22767,14941,1,11139
0.01,0.3,0.001,0.003,0.3,3,0.6137860082304527,27.943304080963134,0,0,22767,14941,1,11139
0.01,0.3,0.001,0.003,0.5,3,0.6137860082304527,27.92949026107788,0,0,22767,14941,1,11139
0.01,0.3,0.001,0.01,0.001,3,0.6137860082304527,27.951587238311767,0,0,22767,14944,1,11136
0.01,0.3,0.001,0.01,0.003,3,0.6137860082304527,27.94196025848389,0,0,22767,14944,1,11136
0.01,0.3,0.001,0.01,0.01,3,0.6137860082304527,27.97137439727783,0,0,22767,14944,1,11136
0.01,0.3,0.001,0.01,0.03,3,0.6137860082304527,27.967098026275636,0,0,22767,14944,1,11136
0.01,0.3,0.001,0.01,0.1,3,0.6137860082304527,28.007661685943603,0,0,22767,14944,1,11136
0.01,0.3,0.001,0.01,0.3,3,0.6137860082304527,27.970513610839845,0,0,22767,14944,1,11136
0.01,0.3,0.001,0.01,0.5,3,0.6137860082304527,27.957123527526857,0,0,22767,14944,1,11136
0.01,0.3,0.001,0.03,0.001,3,0.6137860082304527,27.96912130355835,0,0,22767,14946,1,11134
0.01,0.3,0.001,0.03,0.003,3,0.6137860082304527,28.00534917831421,0,0,22767,14946,1,11134
0.01,0.3,0.001,0.03,0.01,3,0.6137860082304527,28.011464996337892,0,0,22767,14946,1,11134
0.01,0.3,0.001,0.03,0.03,3,0.6137860082304527,28.009407806396485,0,0,22767,14946,1,11134
