t0,t1,t2,t3,t4,patience,mrr10,mean_batch_latency_ms,exit_count_0,exit_count_1,exit_count_2,exit_count_3,exit_count_4,exit_count_5
0.5,0.001,0.001,0.001,0.001,3,0.6122648442092887,29.89421148300171,0,0,21280,0,16303,11265
0.5,0.001,0.001,0.001,0.003,3,0.6122648442092887,30.11965000152588,0,0,21280,0,16341,11227
0.5,0.001,0.001,0.001,0.01,3,0.6122648442092887,30.094329566955565,0,0,21280,0,16349,11219
0.5,0.001,0.001,0.001,0.03,3,0.6122648442092887,30.127021141052246,0,0,21280,0,16349,11219
0.5,0.001,0.001,0.001,0.1,3,0.6122648442092887,30.14576515197754,0,0,21280,0,16349,11219
0.5,0.001,0.001,0.001,0.3,3,0.6122648442092887,30.15367446899414,0,0,21280,0,16349,11219
0.5,0.001,0.001,0.001,0.5,3,0.6122648442092887,30.1561865234375,0,0,21280,0,16349,11219
0.5,0.001,0.001,0.003,0.001,3,0.6122648442092887,30.16548330307007,0,0,21280,0,16354,11214
0.5,0.001,0.001,0.003,0.003,3,0.6122648442092887,30.189286041259766,0,0,21280,0,16411,11157
0.5,0.001,0.001,0.003,0.01,3,0.6122648442092887,30.15588037490845,0,0,21280,0,16423,11145
0.5,0.001,0.001,0.003,0.03,3,0.6122648442092887,30.237747974395752,0,0,21280,0,16423,11145
0.5,0.001,0.001,0.003,0.1,3,0.6122648442092887,30.213693733215333,0,0,21280,0,16425,11143
0.5,0.001,0.001,0.003,0.3,3,0.6122648442092887,30.149678554534912,0,0,21280,0,16425,11143
0.5,0.001,0.001,0.003,0.5,3,0.6122648442092887,30.13963550567627,0,0,21280,0,16425,11143
0.5,0.001,0.001,0.01,0.001,3,0.6122648442092887,30.165913639068602,0,0,21280,0,16356,11212
0.5,0.001,0.001,0.01,0.003,3,0.6122648442092887,30.129930877685545,0,0,21280,0,16416,11152
0.5,0.001,0.001,0.01,0.01,3,0.6122648442092887,30.13079807281494,0,0,21280,0,16429,11139
0.5,0.001,0.001,0.01,0.03,3,0.6122648442092887,30.140917224884035,0,0,21280,0,16430,11138
0.5,0.001,0.001,0.01,0.1,3,0.6122648442092887,30.126812839508055,0,0,21280,0,16432,11136
0.5,0.001,0.001,0.01,0.3,3,0.6122648442092887,30.150466289520264,0,0,21280,0,16432,11136
0.5,0.001,0.001,0.01,0.5,3,0.6122648442092887,30.126687717437743,0,0,21280,0,16432,11136
0.5,0.001,0.001,0.03,0.001,3,0.6122648442092887,30.164642486572266,0,0,21280,0,16357,11211
