t0,t1,t2,t3,t4,patience,mrr10,mean_batch_latency_ms,exit_count_0,exit_count_1,exit_count_2,exit_count_3,exit_count_4,exit_count_5
0.3,0.003,0.001,0.001,0.001,2,0.5916887125220458,23.29072874069214,0,29829,0,8910,3719,6390
0.3,0.003,0.001,0.001,0.003,2,0.5916887125220458,23.353029136657714,0,29829,0,8910,3860,6249
0.3,0.003,0.001,0.001,0.01,2,0.5916887125220458,23.414091873168946,0,29829,0,8910,3883,6226
0.3,0.003,0.001,0.001,0.03,2,0.5916887125220458,23.430305366516112,0,29829,0,8910,3884,6225
0.3,0.003,0.001,0.001,0.1,2,0.5916887125220458,23.461216011047362,0,29829,0,8910,3884,6225
0.3,0.003,0.001,0.001,0.3,2,0.5916887125220458,23.467104740142823,0,29829,0,8910,3884,6225
0.3,0.003,0.001,0.001,0.5,2,0.5916887125220458,23.43279861450195,0,29829,0,8910,3884,6225
0.3,0.003,0.001,0.003,0.001,2,0.5916887125220458,23.31067081451416,0,29829,0,8967,4825,5227
0.3,0.003,0.001,0.003,0.003,2,0.585515873015873,23.285255279541015,0,29829,0,8967,5263,4789
0.3,0.003,0.001,0.003,0.01,2,0.585515873015873,23.25560501098633,0,29829,0,8967,5392,4660
0.3,0.003,0.001,0.003,0.03,2,0.585515873015873,23.234967288970946,0,29829,0,8967,5410,4642
0.3,0.003,0.001,0.003,0.1,2,0.585515873015873,23.23118818283081,0,29829,0,8967,5417,4635
0.3,0.003,0.001,0.003,0.3,2,0.585515873015873,23.225373687744142,0,29829,0,8967,5418,4634
0.3,0.003,0.001,0.003,0.5,2,0.585515873015873,23.270237789154052,0,29829,0,8967,5418,4634
0.3,0.003,0.001,0.01,0.001,2,0.5916887125220458,23.27357635498047,0,29829,0,8970,5406,4643
0.3,0.003,0.001,0.01,0.003,2,0.5851851851851853,23.186039123535156,0,29829,0,8970,6288,3761
0.3,0.003,0.001,0.01,0.01,2,0.5828703703703704,23.09608636856079,0,29829,0,8970,6703,3346
0.3,0.003,0.001,0.01,0.03,2,0.5828703703703704,23.06170467376709,0,29829,0,8970,6821,3228
0.3,0.003,0.001,0.01,0.1,2,0.5736111111111112,23.148983707427977,0,29829,0,8970,6853,3196
0.3,0.003,0.001,0.01,0.3,2,0.5736111111111112,23.108109016418457,0,29829,0,8970,6857,3192
0.3,0.003,0.001,0.01,0.5,2,0.5736111111111112,23.11892599105835,0,29829,0,8970,6857,3192
0.3,0.003,0.001,0.03,0.001,2,0.5916887125220458,23.313756103515626,0,29829,0,8972,5581,4466
0.3,0.003,0.001,0.03,0.003,2,0.5851851851851853,23.212457523345947,0,29829,0,8972,6760,3287
0.3,0.003,0.001,0.03,0.01,2,0.5828703703703704,23.048198776245115,0,29829,0,8972,7543,2504
0.3,0.003,0.001,0.03,0.03,2,0.5830761316872428,22.957258186340333,0,29829,0,8972,7914,2133
0.3,0.003,0.001,0.03,0.1,2,0.5738168724279835,23.092844200134277,0,29829,0,8972,8040,2007
0.3,0.003,0.001,0.03,0.3,2,0.5733759553203998,22.924848709106445,0,29829,0,8972,8056,1991
0.3,0.003,0.001,0.03,0.5,2,0.5733759553203998,22.928529624938964,0,29829,0,8972,8056,1991
0.3,0.003,0.001,0.1,0.001,2,0.5916887125220458,23.323379096984862,0,29829,0,8972,5604,4443
0.3,0.003,0.001,0.1,0.003,2,0.5851851851851853,23.22640287399292,0,29829,0,8972,6875,3172
0.3,0.003,0.001,0.1,0.01,2,0.5824294532627866,23.001440963745118,0,29829,0,8972,7882,2165
0.3,0.003,0.001,0.1,0.03,2,0.582635214579659,22.845807723999023,0,29829,0,8972,8530,1517
