t0,t1,t2,t3,t4,patience,mrr10,mean_batch_latency_ms,exit_count_0,exit_count_1,exit_count_2,exit_count_3,exit_count_4,exit_count_5
0.001,0.1,0.001,0.001,0.001,2,0.5981481481481481,25.634787254333496,0,1060,36664,98,4314,6712
0.001,0.1,0.001,0.001,0.003,2,0.5977072310405644,25.77255292892456,0,1060,36664,98,4479,6547
0.001,0.1,0.001,0.001,0.01,2,0.5977072310405644,25.800616416931152,0,1060,36664,98,4502,6524
0.001,0.1,0.001,0.001,0.03,2,0.5977072310405644,25.818874549865722,0,1060,36664,98,4503,6523
0.001,0.1,0.001,0.001,0.1,2,0.5977072310405644,25.833583908081053,0,1060,36664,98,4503,6523
0.001,0.1,0.001,0.001,0.3,2,0.5977072310405644,25.843544921875,0,1060,36664,98,4503,6523
0.001,0.1,0.001,0.001,0.5,2,0.5977072310405644,25.831605472564696,0,1060,36664,98,4503,6523
0.001,0.1,0.001,0.003,0.001,2,0.6027777777777777,25.744626445770265,0,1060,36664,98,5553,5473
0.001,0.1,0.001,0.003,0.003,2,0.6010802469135803,25.69487112045288,0,1060,36664,98,6044,4982
0.001,0.1,0.001,0.003,0.01,2,0.6010802469135803,25.64765914916992,0,1060,36664,98,6180,4846
0.001,0.1,0.001,0.003,0.03,2,0.6010802469135803,25.660952892303467,0,1060,36664,98,6201,4825
0.001,0.1,0.001,0.003,0.1,2,0.6010802469135803,25.64870086669922,0,1060,36664,98,6210,4816
0.001,0.1,0.001,0.003,0.3,2,0.6010802469135803,25.668967056274415,0,1060,36664,98,6211,4815
0.001,0.1,0.001,0.003,0.5,2,0.6010802469135803,25.67166400909424,0,1060,36664,98,6211,4815
0.001,0.1,0.001,0.01,0.001,2,0.6027777777777777,25.71325885772705,0,1060,36664,98,6173,4853
0.001,0.1,0.001,0.01,0.003,2,0.6010802469135803,25.58579174041748,0,1060,36664,98,7148,3878
0.001,0.1,0.001,0.01,0.01,2,0.5987654320987654,25.49299388885498,0,1060,36664,98,7601,3425
0.001,0.1,0.001,0.01,0.03,2,0.5987654320987654,25.47827335357666,0,1060,36664,98,7731,3295
0.001,0.1,0.001,0.01,0.1,2,0.5895061728395061,25.47024158477783,0,1060,36664,98,7766,3260
0.001,0.1,0.001,0.01,0.3,2,0.5895061728395061,25.47292642593384,0,1060,36664,98,7771,3255
0.001,0.1,0.001,0.01,0.5,2,0.5895061728395061,25.474319744110108,0,1060,36664,98,7771,3255
0.001,0.1,0.001,0.03,0.001,2,0.6027777777777777,25.70706199645996,0,1060,36664,98,6353,4673
0.001,0.1,0.001,0.03,0.003,2,0.6010802469135803,25.578439350128175,0,1060,36664,98,7638,3388
0.001,0.1,0.001,0.03,0.01,2,0.5987654320987654,25.527013111114503,0,1060,36664,98,8478,2548
0.001,0.1,0.001,0.03,0.03,2,0.5989711934156378,25.385739269256593,0,1060,36664,98,8877,2149
0.001,0.1,0.001,0.03,0.1,2,0.5989711934156378,25.34256233215332,0,1060,36664,98,9008,2018
0.001,0.1,0.001,0.03,0.3,2,0.5985302763080541,25.343008575439452,0,1060,36664,98,9025,2001
0.001,0.1,0.001,0.03,0.5,2,0.5985302763080541,25.357634525299073,0,1060,36664,98,9025,2001
0.001,0.1,0.001,0.1,0.001,2,0.6027777777777777,25.762480010986327,0,1060,36664,98,6377,4649
0.001,0.1,0.001,0.1,0.003,2,0.6010802469135803,25.632102642059326,0,1060,36664,98,7756,3270
0.001,0.1,0.001,0.1,0.01,2,0.595679012345679,25.3893257522583,0,1060,36664,98,8823,2203
0.001,0.1,0.001,0.1,0.03,2,0.5958847736625514,25.2709020614624,0,1060,36664,98,9505,1521
0.001,0.1,0.001,0.1,0.1,2,0.5954438565549677,25.13903648376465,0,1060,36664,98,9891,1135
0.001,0.1,0.001,0.1,0.3,2,0.5951131687242799,25.0747190284729,0,1060,36664,98,10005,1021
0.001,0.1,0.001,0.1,0.5,2,0.5951131687242799,25.08478620529175,0,1060,36664,98,10015,1011
0.001,0.1,0.001,0.3,0.001,2,0.6027777777777777,25.71688570022583,0,1060,36664,98,6378,4648
0.001,0.1,0.001,0.3,0.003,2,0.6010802469135803,25.541104431152345,0,1060,36664,98,7760,3266
0.001,0.1,0.001,0.3,0.01,2,0.595679012345679,25.351829013824464,0,1060,36664,98,8846,2180
0.001,0.1,0.001,0.3,0.03,2,0.5958847736625514,25.21311876296997,0,1060,36664,98,9606,1420
0.001,0.1,0.001,0.3,0.1,2,0.5954438565549677,25.081999397277833,0,1060,36664,98,10183,843
