t0,t1,t2,t3,t4,patience,mrr10,mean_batch_latency_ms,exit_count_0,exit_count_1,exit_count_2,exit_count_3,exit_count_4,exit_count_5
0.3,0.3,0.001,0.001,0.001,2,0.41563051146384483,14.588706903457641,0,48444,0,1,26,377
0.3,0.3,0.001,0.001,0.003,2,0.41563051146384483,14.643167953491211,0,48444,0,1,27,376
0.3,0.3,0.001,0.001,0.01,2,0.41563051146384483,14.702537899017335,0,48444,0,1,28,375
0.3,0.3,0.001,0.001,0.03,2,0.41563051146384483,14.699209260940552,0,48444,0,1,28,375
0.3,0.3,0.001,0.001,0.1,2,0.41563051146384483,14.717409963607787,0,48444,0,1,28,375
0.3,0.3,0.001,0.001,0.3,2,0.41563051146384483,14.709038400650025,0,48444,0,1,28,375
0.3,0.3,0.001,0.001,0.5,2,0.41563051146384483,14.72294366836548,0,48444,0,1,28,375
0.3,0.3,0.001,0.003,0.001,2,0.41563051146384483,14.793139505386353,0,48444,0,1,42,361
0.3,0.3,0.001,0.003,0.003,2,0.41563051146384483,14.73552321434021,0,48444,0,1,47,356
0.3,0.3,0.001,0.003,0.01,2,0.41563051146384483,14.739752035140992,0,48444,0,1,49,354
0.3,0.3,0.001,0.003,0.03,2,0.41563051146384483,14.740355567932129,0,48444,0,1,49,354
0.3,0.3,0.001,0.003,0.1,2,0.41563051146384483,14.749655313491822,0,48444,0,1,49,354
0.3,0.3,0.001,0.003,0.3,2,0.41563051146384483,14.747228164672851,0,48444,0,1,49,354
0.3,0.3,0.001,0.003,0.5,2,0.41563051146384483,14.736555213928222,0,48444,0,1,49,354
0.3,0.3,0.001,0.01,0.001,2,0.41563051146384483,14.745894432067871,0,48444,0,1,54,349
0.3,0.3,0.001,0.01,0.003,2,0.41563051146384483,14.75763458251953,0,48444,0,1,68,335
0.3,0.3,0.001,0.01,0.01,2,0.41563051146384483,14.756378526687621,0,48444,0,1,72,331
0.3,0.3,0.001,0.01,0.03,2,0.41563051146384483,14.754364500045776,0,48444,0,1,73,330
0.3,0.3,0.001,0.01,0.1,2,0.41563051146384483,14.765613145828247,0,48444,0,1,73,330
0.3,0.3,0.001,0.01,0.3,2,0.41563051146384483,14.753609209060668,0,48444,0,1,73,330
0.3,0.3,0.001,0.01,0.5,2,0.41563051146384483,14.76993956565857,0,48444,0,1,73,330
0.3,0.3,0.001,0.03,0.001,2,0.41563051146384483,14.750899829864501,0,48444,0,1,64,339
0.3,0.3,0.001,0.03,0.003,2,0.41563051146384483,14.757448606491089,0,48444,0,1,95,308
0.3,0.3,0.001,0.03,0.01,2,0.41563051146384483,14.828008003234864,0,48444,0,1,110,293
0.3,0.3,0.001,0.03,0.03,2,0.41563051146384483,14.780672693252564,0,48444,0,1,120,283
0.3,0.3,0.001,0.03,0.1,2,0.41563051146384483,14.776827564239502,0,48444,0,1,122,281
0.3,0.3,0.001,0.03,0.3,2,0.41563051146384483,14.770355234146118,0,48444,0,1,123,280
0.3,0.3,0.001,0.03,0.5,2,0.41563051146384483,14.770251474380494,0,48444,0,1,123,280
0.3,0.3,0.001,0.1,0.001,2,0.41563051146384483,14.838127374649048,0,48444,0,1,69,334
0.3,0.3,0.001,0.1,0.003,2,0.41563051146384483,14.770895080566406,0,48444,0,1,108,295
0.3,0.3,0.001,0.1,0.01,2,0.41563051146384483,14.769398708343505,0,48444,0,1,148,255
0.3,0.3,0.001,0.1,0.03,2,0.41563051146384483,14.757530899047852,0,48444,0,1,174,229
0.3,0.3,0.001,0.1,0.1,2,0.41563051146384483,14.767467555999756,0,48444,0,1,195,208
0.3,0.3,0.001,0.1,0.3,2,0.41563051146384483,14.769284477233887,0,48444,0,1,202,201
0.3,0.3,0.001,0.1,0.5,2,0.41563051146384483,14.769765396118164,0,48444,0,1,203,200
0.3,0.3,0.001,0.3,0.001,2,0.41563051146384483,14.784180459976197,0,48444,0,1,69,334
0.3,0.3,0.001,0.3,0.003,2,0.41563051146384483,14.791582393646241,0,48444,0,1,108,295
0.3,0.3,0.001,0.3,0.01,2,0.41563051146384483,14.788984365463257,0,48444,0,1,150,253
0.3,0.3,0.001,0.3,0.03,2,0.41563051146384483,14.780013103485107,0,48444,0,1,188,215
