t0,t1,t2,t3,t4,patience,mrr10,mean_batch_latency_ms,exit_count_0,exit_count_1,exit_count_2,exit_count_3,exit_count_4,exit_count_5
0.003,0.3,0.001,0.001,0.001,2,0.5780055849500294,24.09689437866211,0,7450,31140,1,3958,6299
0.003,0.3,0.001,0.001,0.003,2,0.5776748971193415,24.105079460144044,0,7450,31140,1,4115,6142
0.003,0.3,0.001,0.001,0.01,2,0.5776748971193415,24.166730575561523,0,7450,31140,1,4138,6119
0.003,0.3,0.001,0.001,0.03,2,0.5776748971193415,24.21167999267578,0,7450,31140,1,4139,6118
0.003,0.3,0.001,0.001,0.1,2,0.5776748971193415,24.239432601928712,0,7450,31140,1,4139,6118
0.003,0.3,0.001,0.001,0.3,2,0.5776748971193415,24.237797527313234,0,7450,31140,1,4139,6118
0.003,0.3,0.001,0.001,0.5,2,0.5776748971193415,24.251279335021973,0,7450,31140,1,4139,6118
0.003,0.3,0.001,0.003,0.001,2,0.5810920047031158,24.208839073181153,0,7450,31140,1,5104,5153
0.003,0.3,0.001,0.003,0.003,2,0.5794459141681364,24.183639736175536,0,7450,31140,1,5566,4691
0.003,0.3,0.001,0.003,0.01,2,0.5794459141681364,24.135958766937257,0,7450,31140,1,5697,4560
0.003,0.3,0.001,0.003,0.03,2,0.5794459141681364,24.13172643661499,0,7450,31140,1,5716,4541
0.003,0.3,0.001,0.003,0.1,2,0.5794459141681364,24.160139541625977,0,7450,31140,1,5725,4532
0.003,0.3,0.001,0.003,0.3,2,0.5794459141681364,24.157660388946532,0,7450,31140,1,5726,4531
0.003,0.3,0.001,0.003,0.5,2,0.5794459141681364,24.146161212921143,0,7450,31140,1,5726,4531
0.003,0.3,0.001,0.01,0.001,2,0.5810920047031158,24.204771251678466,0,7450,31140,1,5683,4574
0.003,0.3,0.001,0.01,0.003,2,0.5794459141681364,24.096175289154054,0,7450,31140,1,6598,3659
0.003,0.3,0.001,0.01,0.01,2,0.5740446796002351,24.018326454162597,0,7450,31140,1,7022,3235
0.003,0.3,0.001,0.01,0.03,2,0.5740446796002351,23.985677070617676,0,7450,31140,1,7143,3114
0.003,0.3,0.001,0.01,0.1,2,0.5647854203409759,23.98901170730591,0,7450,31140,1,7178,3079
0.003,0.3,0.001,0.01,0.3,2,0.5647854203409759,23.982665939331056,0,7450,31140,1,7182,3075
0.003,0.3,0.001,0.01,0.5,2,0.5647854203409759,23.977137908935546,0,7450,31140,1,7182,3075
0.003,0.3,0.001,0.03,0.001,2,0.5810920047031158,24.21068286895752,0,7450,31140,1,5842,4415
0.003,0.3,0.001,0.03,0.003,2,0.5794459141681364,24.059793968200683,0,7450,31140,1,7045,3212
0.003,0.3,0.001,0.03,0.01,2,0.5740446796002351,23.905318641662596,0,7450,31140,1,7825,2432
0.003,0.3,0.001,0.03,0.03,2,0.5742504409171075,23.863654193878173,0,7450,31140,1,8192,2065
0.003,0.3,0.001,0.03,0.1,2,0.5649911816578483,23.81451177597046,0,7450,31140,1,8316,1941
0.003,0.3,0.001,0.03,0.3,2,0.5645502645502645,23.808592643737793,0,7450,31140,1,8332,1925
0.003,0.3,0.001,0.03,0.5,2,0.5645502645502645,23.828635864257812,0,7450,31140,1,8332,1925
0.003,0.3,0.001,0.1,0.001,2,0.5810920047031158,24.205273628234863,0,7450,31140,1,5865,4392
0.003,0.3,0.001,0.1,0.003,2,0.5794459141681364,24.06982202529907,0,7450,31140,1,7155,3102
0.003,0.3,0.001,0.1,0.01,2,0.5736037624926514,23.88141311645508,0,7450,31140,1,8153,2104
0.003,0.3,0.001,0.1,0.03,2,0.5738095238095238,23.768558158874512,0,7450,31140,1,8789,1468
