t0,t1,t2,t3,t4,mrr10,mean_batch_latency_ms,exit_count_0,exit_count_1,exit_count_2,exit_count_3,exit_count_4,exit_count_5
0.03,0.3,0.001,0.001,0.001,0.1390873015873016,8.585709762573241,44343,4310,1,19,15,160
0.03,0.3,0.001,0.001,0.003,0.1390873015873016,8.559718446731567,44343,4310,1,19,33,142
0.03,0.3,0.001,0.001,0.01,0.1390873015873016,8.564928913116455,44343,4310,1,19,51,124
0.03,0.3,0.001,0.001,0.03,0.1390873015873016,8.558494415283203,44343,4310,1,19,72,103
0.03,0.3,0.001,0.001,0.1,0.1390873015873016,8.70785825252533,44343,4310,1,19,90,85
0.03,0.3,0.001,0.001,0.3,0.1390873015873016,8.579501152038574,44343,4310,1,19,112,63
0.03,0.3,0.001,0.001,0.5,0.1390873015873016,8.573516502380372,44343,4310,1,19,132,43
0.03,0.3,0.001,0.003,0.001,0.1390873015873016,8.582504949569703,44343,4310,1,27,8,159
0.03,0.3,0.001,0.003,0.003,0.1390873015873016,8.591066527366639,44343,4310,1,27,25,142
0.03,0.3,0.001,0.003,0.01,0.1390873015873016,8.585372438430786,44343,4310,1,27,43,124
0.03,0.3,0.001,0.003,0.03,0.1390873015873016,8.589461431503295,44343,4310,1,27,64,103
0.03,0.3,0.001,0.003,0.1,0.1390873015873016,8.595970220565796,44343,4310,1,27,82,85
0.03,0.3,0.001,0.003,0.3,0.1390873015873016,8.59903678894043,44343,4310,1,27,104,63
0.03,0.3,0.001,0.003,0.5,0.1390873015873016,8.642280287742615,44343,4310,1,27,124,43
0.03,0.3,0.001,0.01,0.001,0.1390873015873016,8.613807692527772,44343,4310,1,42,1,151
0.03,0.3,0.001,0.01,0.003,0.1390873015873016,8.640797133445739,44343,4310,1,42,10,142
0.03,0.3,0.001,0.01,0.01,0.1390873015873016,8.612328276634216,44343,4310,1,42,28,124
0.03,0.3,0.001,0.01,0.03,0.1390873015873016,8.608215074539185,44343,4310,1,42,49,103
0.03,0.3,0.001,0.01,0.1,0.1390873015873016,8.612719359397888,44343,4310,1,42,67,85
0.03,0.3,0.001,0.01,0.3,0.1390873015873016,8.607126393318175,44343,4310,1,42,89,63
0.03,0.3,0.001,0.01,0.5,0.1390873015873016,8.607884821891785,44343,4310,1,42,109,43
0.03,0.3,0.001,0.03,0.001,0.1390873015873016,8.616360297203064,44343,4310,1,62,0,132
0.03,0.3,0.001,0.03,0.003,0.1390873015873016,8.63268162727356,44343,4310,1,62,2,130
0.03,0.3,0.001,0.03,0.01,0.1390873015873016,8.609099507331848,44343,4310,1,62,14,118
0.03,0.3,0.001,0.03,0.03,0.1390873015873016,8.607456336021423,44343,4310,1,62,29,103
0.03,0.3,0.001,0.03,0.1,0.1390873015873016,8.629783368110656,44343,4310,1,62,47,85
0.03,0.3,0.001,0.03,0.3,0.1390873015873016,8.619366087913512,44343,4310,1,62,69,63
0.03,0.3,0.001,0.03,0.5,0.1390873015873016,8.613817257881164,44343,4310,1,62,89,43
0.03,0.3,0.001,0.1,0.001,0.1390873015873016,8.582536964416503,44343,4310,1,96,0,98
0.03,0.3,0.001,0.1,0.003,0.1390873015873016,8.587112927436829,44343,4310,1,96,0,98
0.03,0.3,0.001,0.1,0.01,0.1390873015873016,8.619717411994934,44343,4310,1,96,1,97
0.03,0.3,0.001,0.1,0.03,0.1390873015873016,8.576383666992188,44343,4310,1,96,7,91
0.03,0.3,0.001,0.1,0.1,0.1390873015873016,8.584668507575989,44343,4310,1,96,17,81
0.03,0.3,0.001,0.1,0.3,0.1390873015873016,8.58380292892456,44343,4310,1,96,36,62
0.03,0.3,0.001,0.1,0.5,0.1390873015873016,8.594063353538512,44343,4310,1,96,55,43
0.03,0.3,0.001,0.3,0.001,0.1390873015873016,8.560106587409972,44343,4310,1,127,0,67
0.03,0.3,0.001,0.3,0.003,0.1390873015873016,8.554723172187805,44343,4310,1,127,0,67
0.03,0.3,0.001,0.3,0.01,0.1390873015873016,8.581938872337341,44343,4310,1,127,0,67
0.03,0.3,0.001,0.3,0.03,0.1390873015873016,8.554136934280395,44343,4310,1,127,0,67
0.03,0.3,0.001,0.3,0.1,0.1390873015873016,8.745783696174621,44343,4310,1,127,2,65
0.03,0.3,0.001,0.3,0.3,0.1390873015873016,8.553512964248657,44343,4310,1,127,10,57
0.03,0.3,0.001,0.3,0.5,0.1390873015873016,8.559213123321534,44343,4310,1,127,25,42
0.03,0.3,0.001,0.5,0.001,0.1390873015873016,8.555218839645386,44343,4310,1,160,0,34
0.03,0.3,0.001,0.5,0.003,0.1390873015873016,8.557994208335877,44343,4310,1,160,0,34
0.03,0.3,0.001,0.5,0.01,0.1390873015873016,8.557497282028198,44343,4310,1,160,0,34
0.03,0.3,0.001,0.5,0.03,0.1390873015873016,8.554739818572997,44343,4310,1,160,0,34
0.03,0.3,0.001,0.5,0.1,0.1390873015873016,8.55821436405182,44343,4310,1,160,0,34
0.03,0.3,0.001,0.5,0.3,0.1390873015873016,8.554471640586852,44343,4310,1,160,0,34
0.03,0.3,0.001,0.5,0.5,0.1390873015873016,8.621710057258605,44343,4310,1,160,4,30
0.03,0.3,0.003,0.001,0.001,0.1390873015873016,8.615376014709472,44343,4310,4,16,15,160
0.03,0.3,0.003,0.001,0.003,0.1390873015873016,8.641428174972534,44343,4310,4,16,33,142
0.03,0.3,0.003,0.001,0.01,0.1390873015873016,8.617869429588318,44343,4310,4,16,51,124
0.03,0.3,0.003,0.001,0.03,0.1390873015873016,8.631674222946167,44343,4310,4,16,72,103
0.03,0.3,0.003,0.001,0.1,0.1390873015873016,8.63624711036682,44343,4310,4,16,90,85
0.03,0.3,0.003,0.001,0.3,0.1390873015873016,8.634315776824952,44343,4310,4,16,112,63
0.03,0.3,0.003,0.001,0.5,0.1390873015873016,8.621632332801818,44343,4310,4,16,132,43
0.03,0.3,0.003,0.003,0.001,0.1390873015873016,8.618308444023132,44343,4310,4,24,8,159
0.03,0.3,0.003,0.003,0.003,0.1390873015873016,8.63849440574646,44343,4310,4,24,25,142
0.03,0.3,0.003,0.003,0.01,0.1390873015873016,8.639950733184815,44343,4310,4,24,43,124
0.03,0.3,0.003,0.003,0.03,0.1390873015873016,8.649248967170715,44343,4310,4,24,64,103
0.03,0.3,0.003,0.003,0.1,0.1390873015873016,8.625922856330872,44343,4310,4,24,82,85
