t0,t1,t2,t3,t4,mrr10,mean_batch_latency_ms,exit_count_0,exit_count_1,exit_count_2,exit_count_3,exit_count_4,exit_count_5
0.03,0.001,0.001,0.001,0.001,0.15601851851851853,10.195615010261536,44343,704,1878,671,350,902
0.03,0.001,0.001,0.001,0.003,0.15601851851851853,10.200535955429077,44343,704,1878,671,571,681
0.03,0.001,0.001,0.001,0.01,0.15601851851851853,10.189591960906982,44343,704,1878,671,764,488
0.03,0.001,0.001,0.001,0.03,0.15601851851851853,10.17493344783783,44343,704,1878,671,900,352
0.03,0.001,0.001,0.001,0.1,0.15601851851851853,10.145421442985535,44343,704,1878,671,1020,232
0.03,0.001,0.001,0.001,0.3,0.15601851851851853,10.112050890922546,44343,704,1878,671,1124,128
0.03,0.001,0.001,0.001,0.5,0.15601851851851853,10.11758879184723,44343,704,1878,671,1184,68
0.03,0.001,0.001,0.003,0.001,0.15601851851851853,10.152674560546876,44343,704,1878,946,144,833
0.03,0.001,0.001,0.003,0.003,0.15601851851851853,10.193912329673767,44343,704,1878,946,316,661
0.03,0.001,0.001,0.003,0.01,0.15601851851851853,10.180031361579895,44343,704,1878,946,495,482
0.03,0.001,0.001,0.003,0.03,0.15601851851851853,10.175190696716308,44343,704,1878,946,630,347
0.03,0.001,0.001,0.003,0.1,0.15601851851851853,10.157996182441712,44343,704,1878,946,745,232
0.03,0.001,0.001,0.003,0.3,0.15601851851851853,10.24995325565338,44343,704,1878,946,849,128
0.03,0.001,0.001,0.003,0.5,0.15601851851851853,10.127601962089539,44343,704,1878,946,909,68
0.03,0.001,0.001,0.01,0.001,0.15601851851851853,10.088372511863708,44343,704,1878,1220,29,674
0.03,0.001,0.001,0.01,0.003,0.15601851851851853,10.10716802597046,44343,704,1878,1220,106,597
0.03,0.001,0.001,0.01,0.01,0.15601851851851853,10.095449299812318,44343,704,1878,1220,239,464
0.03,0.001,0.001,0.01,0.03,0.15601851851851853,10.078824033737183,44343,704,1878,1220,361,342
