t0,t1,t2,t3,t4,mrr10,mean_batch_latency_ms,exit_count_0,exit_count_1,exit_count_2,exit_count_3,exit_count_4,exit_count_5
0.003,0.01,0.001,0.001,0.001,0.5407407407407407,18.284304285049437,7453,30705,3111,2532,1462,3585
0.003,0.01,0.001,0.001,0.003,0.5407407407407407,18.319646406173707,7453,30705,3111,2532,2349,2698
0.003,0.01,0.001,0.001,0.01,0.5387566137566138,18.22691478729248,7453,30705,3111,2532,3152,1895
0.003,0.01,0.001,0.001,0.03,0.5312463256907701,18.147444438934325,7453,30705,3111,2532,3761,1286
0.003,0.01,0.001,0.001,0.1,0.5308054085831864,18.038230657577515,7453,30705,3111,2532,4280,767
0.003,0.01,0.001,0.001,0.3,0.5289315108759554,17.9745996761322,7453,30705,3111,2532,4671,376
0.003,0.01,0.001,0.001,0.5,0.5289315108759554,17.919145231246947,7453,30705,3111,2532,4862,185
0.003,0.01,0.001,0.003,0.001,0.5407407407407407,18.161505584716796,7453,30705,3111,3677,625,3277
0.003,0.01,0.001,0.003,0.003,0.5407407407407407,18.182445154190063,7453,30705,3111,3677,1292,2610
0.003,0.01,0.001,0.003,0.01,0.5387566137566138,18.333682804107667,7453,30705,3111,3677,2025,1877
0.003,0.01,0.001,0.003,0.03,0.5312463256907701,18.026067237854004,7453,30705,3111,3677,2623,1279
0.003,0.01,0.001,0.003,0.1,0.5308054085831864,17.91505374908447,7453,30705,3111,3677,3136,766
0.003,0.01,0.001,0.003,0.3,0.5289315108759554,17.879792308807374,7453,30705,3111,3677,3526,376
0.003,0.01,0.001,0.003,0.5,0.5289315108759554,17.77944863319397,7453,30705,3111,3677,3717,185
0.003,0.01,0.001,0.01,0.001,0.52255291005291,17.775760536193847,7453,30705,3111,4803,158,2618
0.003,0.01,0.001,0.01,0.003,0.52255291005291,17.80590205192566,7453,30705,3111,4803,481,2295
0.003,0.01,0.001,0.01,0.01,0.5228835978835978,17.86568613052368,7453,30705,3111,4803,1002,1774
0.003,0.01,0.001,0.01,0.03,0.5138300999412111,17.830576972961424,7453,30705,3111,4803,1522,1254
0.003,0.01,0.001,0.01,0.1,0.5133891828336272,17.773962650299072,7453,30705,3111,4803,2012,764
0.003,0.01,0.001,0.01,0.3,0.5115152851263962,17.70946397781372,7453,30705,3111,4803,2400,376
0.003,0.01,0.001,0.01,0.5,0.5115152851263962,17.639803819656372,7453,30705,3111,4803,2591,185
