t0,t1,t2,t3,t4,mrr10,mean_batch_latency_ms,exit_count_0,exit_count_1,exit_count_2,exit_count_3,exit_count_4,exit_count_5
0.01,0.001,0.001,0.001,0.001,0.3742504409171076,15.93036542892456,27082,6181,8825,2647,1250,2863
0.01,0.001,0.001,0.001,0.003,0.3742504409171076,16.206496276855468,27082,6181,8825,2647,2010,2103
0.01,0.001,0.001,0.001,0.01,0.37378747795414463,15.888333501815795,27082,6181,8825,2647,2651,1462
0.01,0.001,0.001,0.001,0.03,0.3766975308641975,15.799376935958863,27082,6181,8825,2647,3124,989
0.01,0.001,0.001,0.001,0.1,0.3766975308641975,15.826123614311218,27082,6181,8825,2647,3504,609
0.01,0.001,0.001,0.001,0.3,0.37515432098765433,15.766951713562012,27082,6181,8825,2647,3798,315
0.01,0.001,0.001,0.001,0.5,0.37515432098765433,15.602828812599181,27082,6181,8825,2647,3956,157
0.01,0.001,0.001,0.003,0.001,0.3742504409171076,15.730749473571777,27082,6181,8825,3673,505,2582
0.01,0.001,0.001,0.003,0.003,0.3742504409171076,15.771049222946168,27082,6181,8825,3673,1064,2023
0.01,0.001,0.001,0.003,0.01,0.37378747795414463,15.717390384674072,27082,6181,8825,3673,1641,1446
0.01,0.001,0.001,0.003,0.03,0.3766975308641975,15.676161603927612,27082,6181,8825,3673,2106,981
0.01,0.001,0.001,0.003,0.1,0.3766975308641975,15.564913468360901,27082,6181,8825,3673,2479,608
0.01,0.001,0.001,0.003,0.3,0.37515432098765433,15.531859364509582,27082,6181,8825,3673,2772,315
0.01,0.001,0.001,0.003,0.5,0.37515432098765433,15.436982426643372,27082,6181,8825,3673,2930,157
0.01,0.001,0.001,0.01,0.001,0.36797472075249854,15.446765418052673,27082,6181,8825,4641,124,1995
0.01,0.001,0.001,0.01,0.003,0.36797472075249854,15.602365431785584,27082,6181,8825,4641,380,1739
0.01,0.001,0.001,0.01,0.01,0.36797472075249854,15.601617298126222,27082,6181,8825,4641,760,1359
0.01,0.001,0.001,0.01,0.03,0.3684156378600823,15.525278668403626,27082,6181,8825,4641,1161,958
0.01,0.001,0.001,0.01,0.1,0.3684156378600823,15.445968065261841,27082,6181,8825,4641,1512,607
0.01,0.001,0.001,0.01,0.3,0.3668724279835391,15.406145901679993,27082,6181,8825,4641,1804,315
0.01,0.001,0.001,0.01,0.5,0.3668724279835391,15.343846101760864,27082,6181,8825,4641,1962,157
0.01,0.001,0.001,0.03,0.001,0.3649691358024691,15.165429768562317,27082,6181,8825,5391,16,1353
0.01,0.001,0.001,0.03,0.003,0.3649691358024691,15.221538228988647,27082,6181,8825,5391,75,1294
0.01,0.001,0.001,0.03,0.01,0.3649691358024691,15.248141489028932,27082,6181,8825,5391,230,1139
0.01,0.001,0.001,0.03,0.03,0.3655864197530864,15.27263204574585,27082,6181,8825,5391,470,899
0.01,0.001,0.001,0.03,0.1,0.3655864197530864,15.235605812072754,27082,6181,8825,5391,766,603
0.01,0.001,0.001,0.03,0.3,0.36404320987654326,15.244786624908448,27082,6181,8825,5391,1054,315
0.01,0.001,0.001,0.03,0.5,0.36404320987654326,15.194333720207215,27082,6181,8825,5391,1212,157
0.01,0.001,0.001,0.1,0.001,0.3626543209876543,14.884903302192688,27082,6181,8825,6028,0,732
0.01,0.001,0.001,0.1,0.003,0.3626543209876543,14.896444096565247,27082,6181,8825,6028,2,730
0.01,0.001,0.001,0.1,0.01,0.3626543209876543,14.894721994400024,27082,6181,8825,6028,14,718
0.01,0.001,0.001,0.1,0.03,0.3626543209876543,14.885432305335998,27082,6181,8825,6028,64,668
0.01,0.001,0.001,0.1,0.1,0.3626543209876543,14.938875198364258,27082,6181,8825,6028,203,529
0.01,0.001,0.001,0.1,0.3,0.3611111111111111,14.948517389297486,27082,6181,8825,6028,425,307
0.01,0.001,0.001,0.1,0.5,0.3611111111111111,14.908856024742127,27082,6181,8825,6028,575,157
0.01,0.001,0.001,0.3,0.001,0.3626543209876543,14.6703449010849,27082,6181,8825,6447,0,313
0.01,0.001,0.001,0.3,0.003,0.3626543209876543,14.687810554504395,27082,6181,8825,6447,0,313
0.01,0.001,0.001,0.3,0.01,0.3626543209876543,14.680719990730285,27082,6181,8825,6447,0,313
0.01,0.001,0.001,0.3,0.03,0.3626543209876543,14.686778326034545,27082,6181,8825,6447,1,312
0.01,0.001,0.001,0.3,0.1,0.3626543209876543,14.703311347961426,27082,6181,8825,6447,15,298
