t0,t1,t2,t3,t4,mrr10,mean_batch_latency_ms,exit_count_0,exit_count_1,exit_count_2,exit_count_3,exit_count_4,exit_count_5
0.03,0.03,0.001,0.001,0.001,0.15557760141093477,9.685113606452942,44343,2808,252,365,270,810
0.03,0.03,0.001,0.001,0.003,0.15557760141093477,9.689262709617616,44343,2808,252,365,457,623
0.03,0.03,0.001,0.001,0.01,0.15557760141093477,9.683255386352538,44343,2808,252,365,626,454
0.03,0.03,0.001,0.001,0.03,0.15557760141093477,9.66536898136139,44343,2808,252,365,748,332
0.03,0.03,0.001,0.001,0.1,0.15557760141093477,9.646604480743408,44343,2808,252,365,859,221
0.03,0.03,0.001,0.001,0.3,0.15557760141093477,9.6692009973526,44343,2808,252,365,953,127
0.03,0.03,0.001,0.001,0.5,0.15557760141093477,9.62185604572296,44343,2808,252,365,1012,68
0.03,0.03,0.001,0.003,0.001,0.15557760141093477,9.750059523582458,44343,2808,252,572,114,759
0.03,0.03,0.001,0.003,0.003,0.15557760141093477,9.69002052307129,44343,2808,252,572,263,610
0.03,0.03,0.001,0.003,0.01,0.15557760141093477,9.688110423088073,44343,2808,252,572,424,449
0.03,0.03,0.001,0.003,0.03,0.15557760141093477,9.668097949028015,44343,2808,252,572,545,328
0.03,0.03,0.001,0.003,0.1,0.15557760141093477,9.659906568527221,44343,2808,252,572,652,221
0.03,0.03,0.001,0.003,0.3,0.15557760141093477,9.639654035568237,44343,2808,252,572,746,127
0.03,0.03,0.001,0.003,0.5,0.15557760141093477,9.631006350517273,44343,2808,252,572,805,68
0.03,0.03,0.001,0.01,0.001,0.15557760141093477,9.601090898513794,44343,2808,252,794,23,628
0.03,0.03,0.001,0.01,0.003,0.15557760141093477,9.610767707824706,44343,2808,252,794,94,557
0.03,0.03,0.001,0.01,0.01,0.15557760141093477,9.61177402973175,44343,2808,252,794,216,435
0.03,0.03,0.001,0.01,0.03,0.15557760141093477,9.615653762817383,44343,2808,252,794,328,323
0.03,0.03,0.001,0.01,0.1,0.15557760141093477,9.599818906784058,44343,2808,252,794,430,221
0.03,0.03,0.001,0.01,0.3,0.15557760141093477,9.582152647972107,44343,2808,252,794,524,127
0.03,0.03,0.001,0.01,0.5,0.15557760141093477,9.587184019088745,44343,2808,252,794,583,68
0.03,0.03,0.001,0.03,0.001,0.15496031746031744,9.573709750175476,44343,2808,252,983,4,458
